new-calib: New touch screen calibration program v3.13
Serial Number='150A1E00010B06020304'
Using tnt_mode=1
Setting for delay_in_us:        1
Setting for y_delay_in_us:      1
Setting for tnt_delay_in_us:    1
Setting for max_delta_tnt:      5
Setting for tnt_mode:           1
Setting for averaging:         -1
Entering get_four_points
target_noise  x= 2.50 y= 2.50 t= 2.50
target state=0 point=23,22
 X= 859 X2= 989  Y= 960 Y2=  -1 P1=  -1 P2=  -1 T1=1022 T2= 837  P=  -1  D=  -1 
 X= 842 X2=1023  Y= 928 Y2=  -1 P1=  -1 P2=  -1 T1=1022 T2= 848  P=  -1  D=  -1 
 X= 771 X2=1023  Y= 945 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 828  P=  -1  D=  -1 
 X= 763 X2=1023  Y= 930 Y2=1020 P1=  -1 P2=  -1 T1=1023 T2= 862  P=  -1  D=  -1 
 X=1014 X2=1005  Y= 953 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 842  P=  -1  D=  -1 
 X= 922 X2=1015  Y= 935 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 818  P=  -1  D=  -1 
 X=1023 X2=1008  Y=1022 Y2=1022 P1=  -1 P2=  -1 T1=1022 T2=1021  P=  -1  D=  -1 
 X= 914 X2=1023  Y= 948 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 849  P=  -1  D=  -1 
 X= 795 X2=1023  Y= 945 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 872  P=  -1  D=  -1 
 X= 840 X2=1023  Y= 941 Y2=1022 P1=  -1 P2=  -1 T1=1021 T2= 840  P=  -1  D=  -1 
 X= 807 X2=1023  Y= 939 Y2=1021 P1=  -1 P2=  -1 T1=1023 T2= 871  P=  -1  D=  -1 
 X= 948 X2=1009  Y= 946 Y2=1021 P1=  -1 P2=  -1 T1=1023 T2= 854  P=  -1  D=  -1 
 X= 745 X2=1023  Y= 950 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 818  P=  -1  D=  -1 
 X= 849 X2=1023  Y= 937 Y2=1021 P1=  -1 P2=  -1 T1=1023 T2= 781  P=  -1  D=  -1 
 X= 967 X2= 987  Y= 936 Y2=1022 P1=  -1 P2=  -1 T1=1022 T2= 844  P=  -1  D=  -1 
 X= 847 X2=1023  Y= 945 Y2=1021 P1=  -1 P2=  -1 T1=1023 T2= 836  P=  -1  D=  -1 
 X= 795 X2=1023  Y= 946 Y2=1022 P1=  -1 P2=  -1 T1=1022 T2= 853  P=  -1  D=  -1 
 X= 895 X2= 985  Y= 933 Y2=1022 P1=  -1 P2=  -1 T1=1023 T2= 850  P=  -1  D=  -1 
 X= 238 X2= 236  Y= 349 Y2= 342 P1= 726 P2= 191 T1=  35 T2=  23  P=  -1  D=  -1 
 X= 760 X2=1023  Y= 960 Y2=1021 P1=1023 P2=   0 T1=1023 T2= 871  P=  -1  D=  -1 
 X= 263 X2= 259  Y= 372 Y2= 374 P1= 829 P2= 132 T1=  40 T2=  48  P=  -1  D=  -1 
 X= 246 X2= 241  Y= 352 Y2= 345 P1= 759 P2= 172 T1=  35 T2=  27  P=  -1  D=  -1 
 X= 328 X2= 320  Y= 420 Y2= 409 P1= 855 P2= 111 T1= 111 T2=  43  P=  -1  D=  -1 
 X= 262 X2= 259  Y= 368 Y2= 361 P1= 809 P2= 140 T1=  46 T2=  33  P=  -1  D=  -1 
 X= 262 X2= 258  Y= 369 Y2= 362 P1= 839 P2= 120 T1=  46 T2=  40  P=  -1  D=  -1 
 X= 253 X2= 253  Y= 361 Y2= 354 P1= 803 P2= 143 T1=  37 T2=  34  P=  -1  D=  -1 
