new-calib: New touch screen calibration program v3.9
Serial Number='00001E00010B00000000'
Entering calib_delay
 X=1011 X2=1023  Y=1017 Y2=1023 P1= 884 P2= 270 T1=1023 T2=  26  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  19 T2=  18  P= 542  D=  20 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 515 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  18  P= 543  D=  30 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  19  P= 543  D=  40 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  19 T2=  18  P= 543  D=  60 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 517 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  18  P= 542  D=  80 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  19  P= 543  D=   5 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  18  P= 542  D=  10 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  19 T2=  17  P= 543  D=  15 tn=0 wfr=0 sd=0
 X= 528 X2= 527  Y= 517 Y2= 516 P1= 807 P2= 397 T1=  20 T2=  18  P= 543  D=  20 tn=0 wfr=0 sd=0
 X= 526 X2= 527  Y= 518 Y2= 517 P1= 807 P2= 397 T1=  18 T2=  19  P= 542  D=  30 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 517 Y2= 516 P1= 807 P2= 397 T1=  20 T2=  18  P= 542  D=  40 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  18  P= 542  D=  60 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  19 T2=  18  P= 542  D=  80 tn=0 wfr=0 sd=0
 X= 525 X2= 526  Y= 516 Y2= 515 P1= 806 P2= 396 T1=  19 T2=  18  P= 543  D=   5 tn=0 wfr=0 sd=0
 X= 526 X2= 527  Y= 515 Y2= 516 P1= 806 P2= 397 T1=  18 T2=  19  P= 541  D=  10 tn=0 wfr=0 sd=0
 X= 528 X2= 527  Y= 516 Y2= 514 P1= 806 P2= 397 T1=  19 T2=  17  P= 542  D=  15 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 514 Y2= 516 P1= 805 P2= 397 T1=  18 T2=  18  P= 541  D=  20 tn=0 wfr=0 sd=0
 X= 526 X2= 527  Y= 516 Y2= 516 P1= 806 P2= 397 T1=  18 T2=  18  P= 541  D=  30 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  18 T2=  18  P= 542  D=  40 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 516 P1= 806 P2= 397 T1=  18 T2=  18  P= 542  D=  60 tn=0 wfr=0 sd=0
 X= 526 X2= 527  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  19 T2=  19  P= 542  D=  80 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 516 P1= 806 P2= 397 T1=  17 T2=  19  P= 542  D=   5 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 517 P1= 807 P2= 397 T1=  18 T2=  18  P= 543  D=  10 tn=0 wfr=0 sd=0
 X= 527 X2= 525  Y= 516 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  17  P= 542  D=  15 tn=0 wfr=0 sd=0
 X= 525 X2= 527  Y= 516 Y2= 516 P1= 806 P2= 397 T1=  19 T2=  19  P= 541  D=  20 tn=0 wfr=0 sd=0
 X= 527 X2= 526  Y= 517 Y2= 516 P1= 807 P2= 397 T1=  18 T2=  18  P= 542  D=  30 tn=0 wfr=0 sd=0
 X= 526 X2= 527  Y= 515 Y2= 517 P1= 806 P2= 397 T1=  18 T2=  18  P= 541  D=  40 tn=0 wfr=0 sd=0
 X= 526 X2= 530  Y= 518 Y2= 516 P1= 806 P2= 397 T1=  22 T2=  18  P= 543  D=  60 tn=0 wfr=0 sd=0
 X= 527 X2= 528  Y= 516 Y2= 517 P1= 806 P2= 398 T1=  18 T2=  19  P= 540  D=  80 tn=0 wfr=0 sd=0
 X= 527 X2= 527  Y= 516 Y2= 516 P1= 807 P2= 398 T1=  18 T2=  19  P= 541  D=   5 tn=0 wfr=0 sd=0
 X= 526 X2= 527  Y= 516 Y2= 516 P1= 806 P2= 397 T1=  18 T2=  18  P= 541  D=  10 tn=0 wfr=0 sd=0
 X= 524 X2= 525  Y= 516 Y2= 517 P1= 807 P2= 396 T1=  19 T2=  18  P= 543  D=  15 tn=0 wfr=0 sd=0
