new-calib: New touch screen calibration program v3.7
Serial Number='13101E00010B06010068'
Entering calib_delay
 X= 640 X2= 647  Y= 641 Y2= 640 P1= 994 P2=  63 T1= 187 T2= 168  P=9501  D=  80 tn=0 wfr=0 sd=0
 X= 538 X2= 537  Y= 536 Y2= 535 P1= 890 P2= 289 T1=  33 T2=  33  P=1116  D=  10 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 535 Y2= 535 P1= 890 P2= 289 T1=  32 T2=  32  P=1114  D=  15 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 536 P1= 891 P2= 289 T1=  32 T2=  32  P=1118  D=  20 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 535 Y2= 535 P1= 891 P2= 289 T1=  33 T2=  32  P=1116  D=  30 tn=0 wfr=0 sd=0
 X= 540 X2= 535  Y= 535 Y2= 536 P1= 891 P2= 289 T1=  32 T2=  32  P=1118  D=  40 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 536 P1= 891 P2= 289 T1=  33 T2=  32  P=1118  D=  60 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 536 P1= 891 P2= 289 T1=  32 T2=  33  P=1118  D=  80 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 536 Y2= 535 P1= 891 P2= 288 T1=  32 T2=  32  P=1121  D=   5 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 535 Y2= 534 P1= 891 P2= 289 T1=  33 T2=  32  P=1116  D=  10 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 536 Y2= 536 P1= 890 P2= 291 T1=  32 T2=  32  P=1103  D=  15 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 536 P1= 890 P2= 289 T1=  32 T2=  32  P=1116  D=  20 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 536 Y2= 536 P1= 890 P2= 289 T1=  32 T2=  32  P=1114  D=  30 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 536 Y2= 535 P1= 890 P2= 290 T1=  32 T2=  33  P=1108  D=  40 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 536 P1= 890 P2= 290 T1=  32 T2=  33  P=1110  D=  60 tn=0 wfr=0 sd=0
 X= 536 X2= 535  Y= 535 Y2= 535 P1= 891 P2= 289 T1=  32 T2=  32  P=1114  D=  80 tn=0 wfr=0 sd=0
 X= 542 X2= 537  Y= 535 Y2= 536 P1= 890 P2= 290 T1=  33 T2=  32  P=1114  D=   5 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 535 P1= 891 P2= 289 T1=  32 T2=  33  P=1118  D=  10 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 535 P1= 891 P2= 290 T1=  33 T2=  32  P=1112  D=  15 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 535 P1= 890 P2= 288 T1=  32 T2=  33  P=1122  D=  20 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 535 P1= 891 P2= 291 T1=  33 T2=  32  P=1106  D=  30 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 536 P1= 891 P2= 289 T1=  31 T2=  32  P=1118  D=  40 tn=0 wfr=0 sd=0
 X= 538 X2= 537  Y= 535 Y2= 536 P1= 890 P2= 289 T1=  33 T2=  33  P=1116  D=  60 tn=0 wfr=0 sd=0
 X= 538 X2= 537  Y= 535 Y2= 535 P1= 889 P2= 289 T1=  33 T2=  33  P=1114  D=  80 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 535 Y2= 536 P1= 890 P2= 289 T1=  32 T2=  32  P=1114  D=   5 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 535 P1= 890 P2= 290 T1=  33 T2=  32  P=1110  D=  10 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 536 P1= 891 P2= 289 T1=  32 T2=  32  P=1118  D=  15 tn=0 wfr=0 sd=0
 X= 537 X2= 539  Y= 535 Y2= 536 P1= 891 P2= 289 T1=  31 T2=  32  P=1120  D=  20 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 537 Y2= 536 P1= 892 P2= 289 T1=  32 T2=  32  P=1120  D=  30 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 535 Y2= 535 P1= 891 P2= 289 T1=  32 T2=  32  P=1116  D=  40 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 536 P1= 890 P2= 290 T1=  33 T2=  32  P=1110  D=  60 tn=0 wfr=0 sd=0
 X= 535 X2= 537  Y= 535 Y2= 535 P1= 890 P2= 290 T1=  32 T2=  32  P=1108  D=  80 tn=0 wfr=0 sd=0
 X= 543 X2= 536  Y= 536 Y2= 535 P1= 890 P2= 290 T1=  32 T2=  32  P=1114  D=   5 tn=0 wfr=0 sd=0
 X= 538 X2= 535  Y= 535 Y2= 534 P1= 890 P2= 289 T1=  32 T2=  33  P=1114  D=  10 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 535 Y2= 536 P1= 889 P2= 291 T1=  33 T2=  33  P=1100  D=  15 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 535 P1= 890 P2= 290 T1=  31 T2=  33  P=1110  D=  20 tn=0 wfr=0 sd=0
 X= 537 X2= 540  Y= 535 Y2= 536 P1= 891 P2= 290 T1=  32 T2=  33  P=1114  D=  30 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 535 Y2= 535 P1= 890 P2= 290 T1=  32 T2=  32  P=1108  D=  40 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 536 P1= 890 P2= 290 T1=  32 T2=  32  P=1110  D=  60 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 536 P1= 891 P2= 290 T1=  33 T2=  33  P=1112  D=  80 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 536 Y2= 535 P1= 891 P2= 290 T1=  32 T2=  33  P=1110  D=   5 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 536 Y2= 535 P1= 889 P2= 289 T1=  32 T2=  32  P=1112  D=  10 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 535 Y2= 536 P1= 890 P2= 290 T1=  32 T2=  33  P=1108  D=  15 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 536 Y2= 535 P1= 890 P2= 291 T1=  32 T2=  32  P=1103  D=  20 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 535 Y2= 534 P1= 890 P2= 290 T1=  32 T2=  31  P=1108  D=  30 tn=0 wfr=0 sd=0
 X= 537 X2= 534  Y= 535 Y2= 536 P1= 890 P2= 290 T1=  32 T2=  31  P=1106  D=  40 tn=0 wfr=0 sd=0
 X= 536 X2= 538  Y= 535 Y2= 535 P1= 889 P2= 291 T1=  32 T2=  31  P=1102  D=  60 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 535 Y2= 535 P1= 890 P2= 290 T1=  32 T2=  32  P=1108  D=  80 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 536 Y2= 535 P1= 890 P2= 290 T1=  33 T2=  32  P=1108  D=   5 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 535 Y2= 535 P1= 890 P2= 291 T1=  32 T2=  32  P=1103  D=  10 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 535 P1= 890 P2= 290 T1=  33 T2=  32  P=1110  D=  15 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 536 Y2= 535 P1= 890 P2= 290 T1=  32 T2=  33  P=1108  D=  20 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 536 P1= 890 P2= 290 T1=  32 T2=  33  P=1110  D=  30 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 535 Y2= 536 P1= 890 P2= 291 T1=  33 T2=  32  P=1103  D=  40 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 535 Y2= 535 P1= 891 P2= 290 T1=  32 T2=  32  P=1110  D=  60 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 536 P1= 890 P2= 289 T1=  33 T2=  32  P=1116  D=  80 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 535 P1= 890 P2= 290 T1=  33 T2=  32  P=1110  D=   5 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 535 Y2= 536 P1= 890 P2= 290 T1=  33 T2=  33  P=1108  D=  10 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 535 P1= 890 P2= 290 T1=  32 T2=  32  P=1110  D=  15 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 536 P1= 890 P2= 290 T1=  33 T2=  33  P=1110  D=  20 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 536 Y2= 536 P1= 891 P2= 288 T1=  32 T2=  33  P=1121  D=  30 tn=0 wfr=0 sd=0
 X= 535 X2= 536  Y= 536 Y2= 536 P1= 890 P2= 290 T1=  32 T2=  32  P=1106  D=  40 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 536 Y2= 536 P1= 890 P2= 290 T1=  32 T2=  32  P=1108  D=  60 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 535 Y2= 535 P1= 890 P2= 290 T1=  33 T2=  32  P=1108  D=  80 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 536 P1= 890 P2= 290 T1=  32 T2=  33  P=1110  D=   5 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 535 P1= 890 P2= 290 T1=  32 T2=  32  P=1110  D=  10 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 536 Y2= 536 P1= 890 P2= 291 T1=  31 T2=  32  P=1103  D=  15 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 535 P1= 890 P2= 291 T1=  32 T2=  33  P=1105  D=  20 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 535 P1= 890 P2= 291 T1=  32 T2=  32  P=1105  D=  30 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 536 P1= 890 P2= 291 T1=  32 T2=  32  P=1105  D=  40 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 536 Y2= 536 P1= 890 P2= 290 T1=  32 T2=  32  P=1108  D=  60 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 535 Y2= 535 P1= 890 P2= 291 T1=  33 T2=  32  P=1103  D=  80 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 536 Y2= 536 P1= 890 P2= 291 T1=  33 T2=  33  P=1103  D=   5 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 536 P1= 890 P2= 291 T1=  33 T2=  32  P=1105  D=  10 tn=0 wfr=0 sd=0
 X= 536 X2= 538  Y= 536 Y2= 536 P1= 890 P2= 291 T1=  32 T2=  32  P=1105  D=  15 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 536 Y2= 536 P1= 891 P2= 289 T1=  32 T2=  32  P=1116  D=  20 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 536 P1= 890 P2= 290 T1=  32 T2=  31  P=1110  D=  30 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 535 Y2= 535 P1= 890 P2= 290 T1=  32 T2=  32  P=1108  D=  40 tn=0 wfr=0 sd=0
 X= 541 X2= 536  Y= 536 Y2= 535 P1= 890 P2= 290 T1=  35 T2=  32  P=1112  D=  60 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 535 Y2= 535 P1= 889 P2= 292 T1=  32 T2=  32  P=1095  D=  80 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 536 P1= 890 P2= 291 T1=  33 T2=  32  P=1105  D=   5 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 535 Y2= 535 P1= 889 P2= 291 T1=  32 T2=  32  P=1100  D=  10 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 535 P1= 889 P2= 291 T1=  32 T2=  32  P=1102  D=  15 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 536 P1= 890 P2= 290 T1=  32 T2=  32  P=1110  D=  20 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 535 P1= 890 P2= 291 T1=  32 T2=  33  P=1105  D=  30 tn=0 wfr=0 sd=0
 X= 538 X2= 537  Y= 535 Y2= 536 P1= 890 P2= 291 T1=  32 T2=  32  P=1105  D=  40 tn=0 wfr=0 sd=0
 X= 538 X2= 536  Y= 535 Y2= 535 P1= 890 P2= 291 T1=  32 T2=  32  P=1105  D=  60 tn=0 wfr=0 sd=0
 X= 537 X2= 535  Y= 535 Y2= 535 P1= 889 P2= 291 T1=  33 T2=  33  P=1100  D=  80 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 536 Y2= 534 P1= 889 P2= 291 T1=  32 T2=  32  P=1102  D=   5 tn=0 wfr=0 sd=0
 X= 536 X2= 538  Y= 535 Y2= 535 P1= 890 P2= 291 T1=  32 T2=  32  P=1105  D=  10 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 535 Y2= 535 P1= 890 P2= 292 T1=  32 T2=  32  P=1097  D=  15 tn=0 wfr=0 sd=0
