new-calib: New touch screen calibration program v3.9
Serial Number='00001E00010B00000000'
Entering calib_delay
 X= 523 X2= 523  Y= 518 Y2= 519 P1= 809 P2= 409 T1=  17 T2=  17  P= 510  D=  10 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 518 P1= 808 P2= 409 T1=  16 T2=  17  P= 509  D=  15 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 518 Y2= 519 P1= 808 P2= 409 T1=  17 T2=  17  P= 509  D=  20 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 408 T1=  16 T2=  17  P= 512  D=  30 tn=0 wfr=0 sd=0
 X= 525 X2= 523  Y= 520 Y2= 519 P1= 807 P2= 409 T1=  17 T2=  17  P= 509  D=  40 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  17 T2=  17  P= 509  D=  60 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  17 T2=  15  P= 509  D=  80 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  18 T2=  17  P= 509  D=   5 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  17 T2=  17  P= 509  D=  10 tn=0 wfr=0 sd=0
 X= 523 X2= 522  Y= 519 Y2= 519 P1= 806 P2= 409 T1=  17 T2=  17  P= 506  D=  15 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 525 P1= 808 P2= 409 T1=  14 T2=  16  P= 509  D=  20 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 519 Y2= 519 P1= 808 P2= 408 T1=  17 T2=  18  P= 512  D=  30 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 410 T1=  17 T2=  17  P= 507  D=  40 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 409 T1=  17 T2=  17  P= 510  D=  60 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  17 T2=  17  P= 509  D=  80 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  17 T2=  16  P= 509  D=   5 tn=0 wfr=0 sd=0
 X= 521 X2= 523  Y= 519 Y2= 518 P1= 808 P2= 409 T1=  17 T2=  17  P= 508  D=  10 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 518 P1= 808 P2= 409 T1=  16 T2=  16  P= 509  D=  15 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  17 T2=  17  P= 509  D=  20 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  17 T2=  16  P= 509  D=  30 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  16 T2=  17  P= 509  D=  40 tn=0 wfr=0 sd=0
 X= 522 X2= 524  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  17 T2=  17  P= 509  D=  60 tn=0 wfr=0 sd=0
