new-calib: New touch screen calibration program v3.12
Serial Number='150A1E00010B0602030E'
Using tnt_mode=1
Setting for delay_in_us:        1
Setting for y_delay_in_us:      1
Setting for tnt_delay_in_us:    1
Setting for max_delta_tnt:      5
Setting for tnt_mode:           1
Setting for averaging:         -1
Entering get_four_points
target_noise  x= 2.50 y= 2.50 t= 2.50
target state=0 point=23,22
 X= 828 X2=1011  Y= 870 Y2=1020 P1=1023 P2=  -1 T1=1023 T2= 765  P= 522  D=   1 
 X= 741 X2=1023  Y= 900 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 764  P= 522  D=   1 
 X= 865 X2= 994  Y= 853 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 751  P= 522  D=   1 
 X= 701 X2=1023  Y= 887 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 735  P= 522  D=   1 
 X= 791 X2=1023  Y= 875 Y2=1020 P1=1023 P2=  -1 T1=1022 T2= 742  P= 522  D=   1 
 X= 834 X2=1023  Y= 888 Y2=1020 P1=1023 P2=  -1 T1=1022 T2= 766  P= 522  D=   1 
 X= 855 X2=1013  Y= 878 Y2=1021 P1=1023 P2=  -1 T1=1022 T2= 766  P= 522  D=   1 
 X= 655 X2=1023  Y= 891 Y2=1020 P1=1023 P2=  -1 T1=1022 T2= 771  P= 522  D=   1 
 X= 866 X2=1012  Y= 905 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 754  P= 522  D=   1 
 X= 877 X2=1006  Y= 899 Y2=1022 P1=1023 P2=  -1 T1=1022 T2= 746  P= 522  D=   1 
 X= 817 X2=1022  Y= 871 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 760  P= 522  D=   1 
 X= 828 X2= 980  Y= 884 Y2=1020 P1=1023 P2=  -1 T1=1023 T2= 764  P= 522  D=   1 
 X= 949 X2=1002  Y= 880 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 743  P= 522  D=   1 
 X= 754 X2=1023  Y= 882 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 782  P= 522  D=   1 
 X= 790 X2=1023  Y= 851 Y2=1018 P1=1023 P2=  -1 T1=1023 T2= 763  P= 522  D=   1 
 X= 720 X2=1023  Y= 918 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 765  P= 522  D=   1 
 X= 742 X2=1023  Y= 901 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 765  P= 522  D=   1 
 X= 893 X2= 971  Y= 896 Y2=1020 P1=1023 P2=  -1 T1=1023 T2= 747  P= 522  D=   1 
 X= 871 X2=1000  Y= 866 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 788  P= 522  D=   1 
 X= 729 X2=1023  Y= 888 Y2=1022 P1=1023 P2=  -1 T1=1022 T2= 858  P= 522  D=   1 
 X= 814 X2= 993  Y= 892 Y2=1020 P1=1023 P2=  -1 T1=1023 T2= 774  P= 522  D=   1 
 X= 957 X2= 996  Y= 897 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 758  P= 522  D=   1 
 X=1023 X2=1007  Y=1021 Y2=1023 P1=1023 P2=  -1 T1=1022 T2=1018  P= 522  D=   1 
 X= 854 X2=1010  Y= 898 Y2=1022 P1=1023 P2=  -1 T1=1022 T2= 745  P= 522  D=   1 
 X= 722 X2=1023  Y= 901 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 797  P= 522  D=   1 
 X= 751 X2=1023  Y= 894 Y2=1020 P1=1023 P2=  -1 T1=1023 T2= 746  P= 522  D=   1 
 X= 709 X2=1023  Y= 905 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 776  P= 522  D=   1 
 X= 900 X2=1012  Y= 904 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 771  P= 522  D=   1 
 X= 883 X2=1003  Y= 888 Y2=1021 P1=1023 P2=  -1 T1=1022 T2= 776  P= 522  D=   1 
 X= 845 X2= 984  Y= 880 Y2=1020 P1=1023 P2=  -1 T1=1023 T2= 786  P= 522  D=   1 
 X= 867 X2=1012  Y= 886 Y2=1021 P1=1023 P2=  -1 T1=1023 T2= 762  P= 522  D=   1 
